Serving HTTP on 127.0.0.1 port 59936 (http://127.0.0.1:59936/) ...
127.0.0.1 - - [09/Sep/2026 10:06:19] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /development/synthetic-models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:20] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /development/evidence/p08/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /development/evidence/p08-native/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /development/evidence/p08-native/trial-02/images/P08_generated_FIELD_pressure_%28psia%29_day_2_3D_View_PRESSURE_02_03_Jan_2015.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:21] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/implementation-plan/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/agent-workflows/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /tutorials/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /tutorials/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /tutorials/views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /tutorials/jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /synthetic-models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/local-setup/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/model-imports/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/synthetic-models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/evidence/p08-native/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/architecture/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/contracts/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/workspaces/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/launcher-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/p10-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 10:06:22] "GET /development/views/ HTTP/1.1" 200 -
